index,id,genres
0,ts300399,['documentation']
1,tm84618,"['crime', 'drama']"
2,tm127384,"['comedy', 'fantasy']"
3,tm70993,['comedy']
4,tm190788,['horror']
5,ts22164,"['comedy', 'european']"
6,tm14873,"['thriller', 'crime', 'action']"
7,tm185072,"['drama', 'music', 'romance', 'family']"
8,tm98978,"['romance', 'drama']"
9,tm119281,"['drama', 'crime', 'action']"
10,tm67378,"['western', 'action', 'european']"
11,tm44204,"['war', 'action', 'drama']"
12,tm69778,"['comedy', 'animation', 'action', 'fantasy', 'family']"
13,tm69997,"['comedy', 'documentation']"
14,tm96649,"['western', 'crime']"
15,tm16479,"['romance', 'comedy', 'music']"
16,tm135083,"['drama', 'crime', 'comedy']"
17,tm14491,['documentation']
18,tm89386,"['documentation', 'history', 'european']"
19,tm156453,"['comedy', 'documentation', 'music']"
20,tm27298,"['drama', 'war', 'action', 'history', 'romance']"
21,tm356209,"['drama', 'thriller', 'crime']"
22,tm204541,"['drama', 'action', 'romance', 'thriller']"
23,tm14350,['drama']
24,tm102287,"['drama', 'thriller', 'crime', 'history']"
25,tm76557,"['comedy', 'drama']"
26,tm71909,['fantasy']
27,tm94651,"['drama', 'comedy', 'romance', 'action', 'crime']"
28,tm19608,"['romance', 'crime', 'drama']"
29,ts45948,['comedy']
30,tm90896,"['drama', 'crime']"
31,tm75975,['romance']
32,tm97793,['comedy']
33,tm85426,['comedy']
34,tm188894,['comedy']
35,tm107372,"['comedy', 'drama', 'romance']"
36,tm200475,['drama']
37,tm259855,['documentation']
38,tm259684,['documentation']
39,tm344089,['drama']
40,tm358653,"['romance', 'crime', 'drama']"
41,tm100027,"['drama', 'action', 'romance', 'family', 'fantasy']"
42,tm10204,"['romance', 'comedy', 'drama']"
43,tm403346,['romance']
44,tm16812,"['drama', 'romance', 'action']"
45,tm336403,"['drama', 'crime', 'thriller']"
46,tm119776,"['drama', 'action']"
47,ts20681,['comedy']
48,tm111075,['drama']
49,tm180542,"['drama', 'crime', 'european']"
50,tm138875,"['romance', 'comedy', 'drama']"
51,tm155792,"['scifi', 'action', 'comedy', 'family']"
52,tm22327,"['drama', 'war']"
53,tm54450,"['horror', 'thriller', 'european']"
54,tm2386,['horror']
55,ts22082,"['action', 'scifi', 'crime', 'drama']"
56,tm145608,"['drama', 'european']"
57,ts21715,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']"
58,tm41289,"['drama', 'family', 'comedy']"
59,tm132694,"['horror', 'fantasy', 'thriller']"
60,ts20678,"['comedy', 'romance', 'family']"
61,tm117580,"['comedy', 'romance']"
62,tm20712,"['comedy', 'documentation']"
63,tm130586,"['drama', 'romance']"
64,ts25028,['family']
65,ts23753,"['comedy', 'family']"
66,ts2760,"['comedy', 'animation', 'family', 'crime', 'european']"
67,ts987,"['comedy', 'family', 'scifi', 'animation', 'european']"
68,tm125985,"['scifi', 'drama', 'war', 'animation', 'action']"
69,tm40103,"['scifi', 'animation', 'action', 'drama', 'war']"
70,tm21953,"['comedy', 'documentation']"
71,tm152839,"['comedy', 'documentation']"
72,tm62924,"['comedy', 'documentation']"
73,tm114356,['drama']
74,tm147829,['drama']
75,tm126769,['comedy']
76,tm49037,"['animation', 'action', 'drama', 'scifi', 'war']"
77,tm159912,"['action', 'crime', 'drama']"
78,tm133914,['comedy']
79,tm38736,"['drama', 'war']"
80,tm258072,"['crime', 'drama']"
81,tm52815,"['drama', 'romance']"
82,tm137013,['drama']
83,tm157853,"['drama', 'crime']"
84,tm157603,"['romance', 'comedy', 'drama']"
85,tm45720,"['comedy', 'drama']"
86,tm55091,['drama']
87,tm151332,['drama']
88,tm24110,['drama']
89,tm348735,"['action', 'crime', 'thriller']"
90,tm51083,"['crime', 'drama', 'thriller']"
91,tm126791,['drama']
92,tm186777,['comedy']
93,tm311264,"['comedy', 'drama', 'family', 'action']"
94,tm172482,"['romance', 'action', 'drama']"
95,tm52274,"['drama', 'war', 'european']"
96,tm132164,['comedy']
97,tm342996,"['drama', 'action']"
98,ts63001,['comedy']
99,tm411457,"['drama', 'action']"
100,tm371359,"['drama', 'thriller', 'action']"
101,tm446654,"['drama', 'action', 'crime']"
102,tm47673,"['fantasy', 'drama']"
103,tm419052,"['family', 'romance']"
104,tm11556,"['western', 'thriller', 'action', 'romance']"
105,ts20981,['reality']
106,ts22176,"['scifi', 'drama', 'action']"
107,ts21223,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']"
108,tm122434,"['drama', 'romance', 'comedy']"
109,tm106462,"['comedy', 'sport']"
110,ts20339,"['action', 'comedy', 'animation', 'drama', 'fantasy']"
111,tm57554,"['drama', 'war']"
112,ts34435,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']"
113,ts20927,"['scifi', 'action', 'drama']"
114,ts5145,"['reality', 'comedy', 'drama', 'scifi']"
115,tm192405,"['thriller', 'drama', 'scifi']"
116,ts21567,"['comedy', 'drama']"
117,tm55553,"['action', 'scifi', 'horror']"
118,tm56574,"['romance', 'drama', 'comedy']"
119,tm192037,"['scifi', 'thriller', 'action']"
120,ts20983,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']"
121,ts22193,"['scifi', 'comedy', 'family', 'fantasy', 'animation']"
122,tm191989,"['thriller', 'drama', 'crime']"
123,ts20960,"['scifi', 'action', 'fantasy', 'family']"
124,tm65686,"['thriller', 'crime', 'action']"
125,ts11397,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']"
126,tm54903,"['drama', 'thriller', 'crime', 'european']"
127,tm187187,"['comedy', 'action', 'fantasy']"
128,tm191772,"['drama', 'history', 'war']"
129,tm191848,"['horror', 'thriller', 'drama']"
130,tm121879,['drama']
131,tm44402,"['drama', 'european']"
132,ts22489,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']"
133,ts25252,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']"
134,ts21034,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']"
135,tm53419,"['drama', 'sport']"
136,tm189764,"['drama', 'crime', 'thriller']"
137,tm9323,"['thriller', 'action', 'crime', 'western', 'european']"
138,tm46173,"['action', 'thriller', 'western', 'comedy', 'romance']"
139,tm19673,"['drama', 'action', 'history', 'war']"
140,tm24877,['comedy']
141,tm189433,"['drama', 'family']"
142,ts251477,['reality']
143,tm1822,"['action', 'comedy', 'family', 'sport']"
144,tm187791,"['drama', 'thriller', 'action', 'crime']"
145,tm19494,"['comedy', 'sport']"
146,tm10739,"['scifi', 'thriller', 'action', 'drama']"
147,tm113576,"['drama', 'family', 'romance']"
148,tm191387,"['thriller', 'horror', 'action']"
149,tm6859,"['comedy', 'drama', 'family', 'romance', 'european']"
150,tm186589,"['thriller', 'action', 'animation']"
151,tm191374,"['horror', 'thriller']"
152,tm8446,"['scifi', 'action', 'comedy', 'family']"
153,ts8570,['family']
154,tm21596,"['scifi', 'action', 'horror', 'thriller']"
155,tm48430,"['thriller', 'scifi', 'action']"
156,tm190835,"['scifi', 'action', 'drama', 'fantasy', 'animation']"
157,tm192199,"['fantasy', 'horror', 'scifi', 'thriller', 'action', 'drama']"
158,tm184205,"['comedy', 'family']"
159,tm12499,"['thriller', 'action', 'crime', 'drama']"
160,tm192431,"['thriller', 'drama', 'action', 'crime', 'european']"
161,tm56033,"['thriller', 'european', 'crime', 'drama']"
162,tm190486,"['fantasy', 'scifi', 'action', 'comedy', 'family']"
163,tm61103,"['drama', 'crime', 'thriller']"
164,tm117488,"['drama', 'family', 'romance', 'sport', 'action']"
165,tm55732,"['thriller', 'horror']"
166,tm191431,"['scifi', 'action', 'comedy', 'thriller']"
167,tm17721,"['thriller', 'crime', 'drama', 'european']"
168,ts20939,"['drama', 'comedy', 'family']"
169,ts21693,"['comedy', 'drama', 'family']"
170,ts22286,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']"
171,tm190811,"['western', 'drama', 'history']"
172,tm107659,"['romance', 'comedy', 'drama']"
173,ts21581,"['comedy', 'drama']"
174,tm7135,['comedy']
175,tm7073,"['action', 'scifi']"
176,tm63514,"['drama', 'documentation', 'war']"
177,ts20918,['comedy']
178,tm10811,"['romance', 'drama']"
179,tm188970,"['comedy', 'documentation']"
180,tm188606,"['drama', 'european']"
181,tm128073,['comedy']
182,ts18465,[]
183,tm64817,"['comedy', 'documentation']"
184,tm320211,['documentation']
185,tm189171,"['drama', 'music', 'romance']"
186,tm67635,"['drama', 'romance', 'comedy']"
187,ts22080,"['comedy', 'family', 'action', 'animation', 'european']"
188,ts22039,['comedy']
189,tm41525,"['drama', 'comedy', 'crime']"
190,tm7951,"['comedy', 'documentation']"
191,ts21684,"['drama', 'romance', 'comedy']"
192,tm55100,"['drama', 'romance']"
193,ts224786,['drama']
194,tm204173,"['romance', 'comedy', 'drama']"
195,tm191614,"['drama', 'romance', 'comedy', 'history']"
196,tm8859,['comedy']
197,tm424630,"['drama', 'sport']"
198,tm12876,"['romance', 'drama']"
199,tm52083,"['romance', 'war', 'comedy', 'drama', 'european']"
200,tm9898,"['drama', 'comedy', 'romance', 'action']"
201,tm326102,"['drama', 'music', 'family']"
202,tm12482,"['action', 'drama', 'romance', 'crime']"
203,tm128925,"['comedy', 'fantasy', 'drama', 'crime']"
204,tm52871,"['thriller', 'action', 'drama', 'romance']"
205,ts28516,"['crime', 'drama']"
