index,id,runtime
0,ts300399,48
1,tm84618,113
2,tm127384,91
3,tm70993,94
4,tm190788,133
5,ts22164,30
6,tm14873,102
7,tm185072,170
8,tm98978,104
9,tm119281,110
10,tm67378,117
11,tm44204,158
12,tm69778,100
13,tm69997,78
14,tm96649,99
15,tm16479,115
16,tm135083,77
17,tm14491,68
18,tm89386,150
19,tm156453,97
20,tm27298,186
21,tm356209,158
22,tm204541,120
23,tm14350,133
24,tm102287,105
25,tm76557,235
26,tm71909,120
27,tm94651,161
28,tm19608,100
29,ts45948,43
30,tm90896,124
31,tm75975,152
32,tm97793,230
33,tm85426,217
34,tm188894,251
35,tm107372,162
36,tm200475,110
37,tm259855,74
38,tm259684,93
39,tm344089,153
40,tm358653,142
41,tm100027,138
42,tm10204,163
43,tm403346,135
44,tm16812,141
45,tm336403,131
46,tm119776,110
47,ts20681,24
48,tm111075,89
49,tm180542,229
50,tm138875,96
51,tm155792,93
52,tm22327,116
53,tm54450,90
54,tm2386,91
55,ts22082,51
56,tm145608,120
57,ts21715,10
58,tm41289,127
59,tm132694,103
60,ts20678,23
61,tm117580,84
62,tm20712,93
63,tm130586,116
64,ts25028,26
65,ts23753,24
66,ts2760,10
67,ts987,15
68,tm125985,133
69,tm40103,120
70,tm21953,50
71,tm152839,30
72,tm62924,77
73,tm114356,100
74,tm147829,100
75,tm126769,87
76,tm49037,144
77,tm159912,174
78,tm133914,72
79,tm38736,100
80,tm258072,100
81,tm52815,134
82,tm137013,102
83,tm157853,94
84,tm157603,172
85,tm45720,170
86,tm55091,100
87,tm151332,105
88,tm24110,100
89,tm348735,148
90,tm51083,120
91,tm126791,194
92,tm186777,166
93,tm311264,172
94,tm172482,160
95,tm52274,108
96,tm132164,81
97,tm342996,170
98,ts63001,50
99,tm411457,153
100,tm371359,159
101,tm446654,162
102,tm47673,129
103,tm419052,151
104,tm11556,107
105,ts20981,48
106,ts22176,44
107,ts21223,22
108,tm122434,142
109,tm106462,92
110,ts20339,23
111,tm57554,169
112,ts34435,25
113,ts20927,47
114,ts5145,40
115,tm192405,106
116,ts21567,46
117,tm55553,120
118,tm56574,119
119,tm192037,129
120,ts20983,24
121,ts22193,26
122,tm191989,127
123,ts20960,22
124,tm65686,126
125,ts11397,22
126,tm54903,108
127,tm187187,130
128,tm191772,136
129,tm191848,144
130,tm121879,123
131,tm44402,127
132,ts22489,22
133,ts25252,22
134,ts21034,25
135,tm53419,162
136,tm189764,97
137,tm9323,104
138,tm46173,136
139,tm19673,165
140,tm24877,93
141,tm189433,112
142,ts251477,19
143,tm1822,93
144,tm187791,128
145,tm19494,118
146,tm10739,97
147,tm113576,115
148,tm191387,89
149,tm6859,103
150,tm186589,112
151,tm191374,101
152,tm8446,88
153,ts8570,28
154,tm21596,112
155,tm48430,133
156,tm190835,87
157,tm192199,96
158,tm184205,95
159,tm12499,114
160,tm192431,107
161,tm56033,94
