index,id,year
0,ts300399,1945
1,tm84618,1976
2,tm127384,1975
3,tm70993,1979
4,tm190788,1973
5,ts22164,1969
6,tm14873,1971
7,tm185072,1964
8,tm98978,1980
9,tm119281,1967
10,tm67378,1966
11,tm44204,1961
12,tm69778,1979
13,tm69997,1979
14,tm96649,1980
15,tm16479,1954
16,tm135083,1958
17,tm14491,1968
18,tm89386,1977
19,tm156453,1972
20,tm27298,1963
21,tm356209,1960
22,tm204541,1956
23,tm14350,1979
24,tm102287,1953
25,tm76557,1979
26,tm71909,1966
27,tm94651,1980
28,tm19608,1954
29,ts45948,1972
30,tm90896,1976
31,tm75975,1969
32,tm97793,1980
33,tm85426,1976
34,tm188894,1973
35,tm107372,1974
36,tm200475,1975
37,tm259855,1979
38,tm259684,1980
39,tm344089,1971
40,tm358653,1959
41,tm100027,1979
42,tm10204,1962
43,tm403346,1976
44,tm16812,1978
45,tm336403,1973
46,tm119776,1986
47,ts20681,1989
48,tm111075,1986
49,tm180542,1984
50,tm138875,1989
51,tm155792,1990
52,tm22327,1987
53,tm54450,1983
54,tm2386,1984
55,ts22082,1982
56,tm145608,1990
57,ts21715,1984
58,tm41289,1982
59,tm132694,1989
60,ts20678,1989
61,tm117580,1986
62,tm20712,1987
63,tm130586,1981
64,ts25028,1983
65,ts23753,1989
66,ts2760,1987
67,ts987,1981
68,tm125985,1981
69,tm40103,1988
70,tm21953,1987
71,tm152839,1990
72,tm62924,1982
73,tm114356,1988
74,tm147829,1990
75,tm126769,1985
76,tm49037,1982
77,tm159912,1990
78,tm133914,1989
79,tm38736,1988
80,tm258072,1986
81,tm52815,1982
82,tm137013,1989
83,tm157853,1990
84,tm157603,1990
85,tm45720,1982
86,tm55091,1988
87,tm151332,1989
88,tm24110,1987
89,tm348735,1988
90,tm51083,1988
91,tm126791,1981
92,tm186777,1985
93,tm311264,1987
94,tm172482,1984
95,tm52274,1982
96,tm132164,1989
97,tm342996,1984
98,ts63001,1988
99,tm411457,1986
100,tm371359,1986
101,tm446654,1989
102,tm47673,1982
103,tm419052,1983
104,tm11556,1995
105,ts20981,2000
106,ts22176,1997
107,ts21223,1997
108,tm122434,1994
