id,imdb_score
ts300399,
tm84618,8.3
tm127384,8.2
tm70993,8
tm190788,8.1
ts22164,8.8
tm14873,7.7
tm185072,7.8
tm98978,5.8
tm119281,7.7
tm67378,7.3
tm44204,7.5
tm69778,7.6
tm69997,8.1
tm96649,6.9
tm16479,7.5
tm135083,7.5
tm14491,7.2
tm89386,7.5
tm156453,6.2
tm27298,7.6
tm356209,6.4
tm204541,6.7
tm14350,7.2
tm102287,6.8
tm76557,9
tm71909,6.7
tm94651,2.1
tm19608,7.4
ts45948,8.1
tm90896,7.2
tm75975,6.9
tm97793,
tm85426,
tm188894,
tm107372,6.5
tm200475,6.5
tm259855,6.2
tm259684,7.8
tm344089,6.2
tm358653,6.7
tm100027,6.2
tm10204,6.8
tm403346,4.6
tm16812,4.2
tm336403,5.1
tm119776,6.9
ts20681,8.9
tm111075,8.1
tm180542,8.3
tm138875,7.7
tm155792,6.7
tm22327,8.3
tm54450,6.7
tm2386,7.4
ts22082,6.9
tm145608,7.8
ts21715,6.5
tm41289,6.6
tm132694,6.5
ts20678,7.1
tm117580,6.7
tm20712,7.6
tm130586,4.9
ts25028,6.7
ts23753,6.4
ts2760,6.1
ts987,7.4
tm125985,7.2
tm40103,7.3
tm21953,7.2
tm152839,6
tm62924,7.9
tm114356,6
tm147829,6
tm126769,8
tm49037,7.7
tm159912,7.6
tm133914,8.1
tm38736,6.7
tm258072,7
tm52815,6.5
tm137013,7.2
tm157853,5.6
tm157603,6.6
tm45720,8.7
tm55091,7.1
tm151332,6.5
tm24110,6.3
tm348735,5.1
tm51083,5.8
tm126791,
tm186777,
tm311264,4.8
tm172482,6.1
tm52274,6.3
tm132164,
tm342996,6.2
ts63001,3.8
tm411457,6.1
tm371359,5.2
tm446654,5.4
tm47673,7.3
tm419052,6.3
tm11556,6.5
ts20981,7.4
ts22176,8.4
ts21223,7.6
tm122434,8.8
tm106462,7
ts20339,8.8
tm57554,8.6
ts34435,8.9
ts20927,8.1
ts5145,7.8
tm192405,7.8
ts21567,8.2
tm55553,7.1
tm56574,6.7
tm192037,7.3
ts20983,8.5
ts22193,7.8
tm191989,7.7
ts20960,6.5
tm65686,6.5
ts11397,6.2
tm54903,6.6
tm187187,6.4
tm191772,7.1
tm191848,7.5
tm121879,7.2
tm44402,7.3
ts22489,7.6
ts25252,7.2
ts21034,7.9
tm53419,6.9
tm189764,7.5
tm9323,7.1
tm46173,6.8
tm19673,7.2
tm24877,6.5
tm189433,6
ts251477,
tm1822,4.5
tm187791,7.2
tm19494,6.6
tm10739,5.6
tm113576,7.3
tm191387,4.8
tm6859,6.9
tm186589,6.5
tm191374,5.7
tm8446,6
ts8570,3.8
tm21596,5.8
tm48430,5.4
tm190835,8
tm192199,5.2
tm184205,5.6
tm12499,5.9
tm192431,6.2
tm56033,7
tm190486,4.7
tm61103,6.4
tm117488,4.5
tm55732,4.7
tm191431,4.7
tm17721,6.5
ts20939,5.7
ts21693,6.2
ts22286,8
tm190811,6.5
tm107659,6.6
ts21581,7.2
tm7135,
tm7073,4.5
tm63514,7.9
ts20918,6.8
tm10811,6.8
tm188970,8.5
tm188606,7
tm128073,
ts18465,7.1
tm64817,7.9
tm320211,6.4
tm189171,6.7
tm67635,7.6
ts22080,7.4
ts22039,7.4
tm41525,7.8
tm7951,5.9
ts21684,7.8
tm55100,7.5
ts224786,
tm204173,4.7
tm191614,7.1
tm8859,4
tm424630,7.2
tm12876,8.1
tm52083,7.6
tm9898,7.6
tm326102,4.8
tm12482,5.4
tm128925,6.5
tm52871,6.2
ts28516,9
tm62385,6.2
tm184502,7.6
tm7810,5.5
tm27601,6.1
tm8687,
tm47530,6.4
tm105716,5.5
tm117873,7.5
tm189773,5.4
tm7032,6.9
tm58893,5.5
tm340430,6.6
tm184326,7.8
tm110225,4.5
tm34391,7.3
tm21911,6.6
tm118438,6.6
tm62176,6.1
tm57169,7.8
tm184224,7.8
tm44776,5.9
tm104933,6.7
tm203186,8.2
tm256669,6.1
tm117840,6.5
tm334788,4.5
tm110160,7.9
tm192301,6.7
tm110766,6.9
tm118256,3.6
tm64729,6.2
tm314602,5
tm25389,6
tm42397,4.6
tm210754,
tm449775,5.9
tm255589,
ts4,9.5
ts9,8.2
ts26091,7.8
ts11,8.7
ts21469,7.6
ts288536,8.6
ts6495,8.1
ts22337,7.8
ts8308,8.5
ts22011,8.4
ts21465,8.5
tm33545,7.1
tm172683,6.5
ts17156,8.7
ts20573,8.5
ts12724,8.3
ts3371,9.3
tm92641,8.8
tm102740,6.6
tm87484,8.1
ts20604,8.7
tm39030,8
tm78592,7.2
ts21511,7.6
ts19036,7.2
tm116324,6.6
ts32186,6.1
ts11313,9
tm34310,6.5
ts21247,7.7
tm160815,6.6
tm78671,6.1
tm89036,7
tm86803,7.8
tm105329,7.7
ts20305,8.4
tm35463,7.5
tm84371,7.2
tm139658,8
tm79442,8
tm131038,7
ts2230,5.6
tm154187,7.6
tm133767,7.6
tm88738,7.2
ts17942,8.8
tm148270,6.7
tm93055,5.9
tm133374,7.6
tm26897,6.6
tm109304,7.1
ts22267,8.6
tm76066,8.1
tm90190,7.6
tm997728,
tm29737,7
tm84906,7.6
ts6644,8.5
tm142086,7.8
ts22018,6.7
ts30311,6.9
tm95252,6.8
tm136808,7.3
ts21197,7.9
tm195620,
tm109137,6.3
tm84613,6.7
tm173551,7.3
tm94606,7.1
tm136308,7.3
tm82985,5.8
tm145593,6.3
tm150260,6.9
ts30313,8.3
tm119111,6.7
tm130647,6.3
tm32919,8
tm23935,6.8
tm137143,6.3
tm28905,6.2
tm44486,6.5
tm39487,5.9
tm169949,6.7
ts35155,8.3
tm184913,6.8
tm118637,7
tm58382,5.7
tm40009,6.8
ts12787,8.7
tm154470,6.5
tm22294,5
tm78067,6.5
tm148379,4
tm76428,
tm21467,5.8
tm46436,5.6
tm57190,5.9
tm37546,6.4
tm30205,8
tm159310,7.3
tm89592,5.8
tm167516,5.5
tm79895,6
tm88045,5.4
tm111600,5.1
tm143938,5.1
tm31187,6.7
tm141390,5.5
tm74780,7.4
tm150214,5.7
ts21544,7.9
tm176528,7.3
tm102337,5.2
tm36188,7.1
tm88382,5.9
ts31263,7.6
tm47523,6.3
tm24088,5.1
tm137362,6.2
tm177068,6.1
tm82442,6.2
tm90864,6.5
tm101249,5.5
ts687,7.3
ts24028,8.9
tm142564,8.4
ts23752,8.6
ts21706,7.2
ts21740,8.3
