id,imdb_votes
ts300399,
tm84618,795222
tm127384,530877
tm70993,392419
tm190788,391942
ts22164,72895
tm14873,153463
tm185072,94121
tm98978,69053
tm119281,111189
tm67378,16168
tm44204,50150
tm69778,30277
tm69997,5141
tm96649,11329
tm16479,42373
tm135083,4385
tm14491,1117
tm89386,2416
tm156453,411
tm27298,2470
tm356209,82
tm204541,590
tm14350,1689
tm102287,231
tm76557,943
tm71909,225
tm94651,25
tm19608,1219
ts45948,2144
tm90896,768
tm75975,168
tm97793,
tm85426,
tm188894,
tm107372,236
tm200475,106
tm259855,43
tm259684,75
tm344089,137
tm358653,78
tm100027,555
tm10204,285
tm403346,14
tm16812,35
tm336403,41
tm119776,329656
ts20681,302700
tm111075,392790
tm180542,342335
tm138875,212913
tm155792,92647
tm22327,723306
tm54450,80945
tm2386,230543
ts22082,33760
tm145608,137549
ts21715,4948
tm41289,44866
tm132694,102212
ts20678,34854
tm117580,14277
tm20712,19646
tm130586,8374
ts25028,3126
ts23753,2866
ts2760,1759
ts987,3514
tm125985,1242
tm40103,1649
tm21953,651
tm152839,353
tm62924,15186
tm114356,901
tm147829,448
tm126769,6285
tm49037,1210
tm159912,8902
tm133914,1522
tm38736,494
tm258072,209
tm52815,1449
tm137013,857
tm157853,200
tm157603,5273
tm45720,154
tm55091,144
tm151332,643
tm24110,357
tm348735,92
tm51083,380
tm126791,
tm186777,
tm311264,68
tm172482,297
tm52274,149
tm132164,
tm342996,241
ts63001,6
tm411457,65
tm371359,122
tm446654,188
tm47673,1113
tm419052,70
tm11556,92224
ts20981,24368
ts22176,90196
ts21223,172
tm122434,1994599
tm106462,217534
ts20339,112586
tm57554,1346020
ts34435,112887
ts20927,61145
ts5145,3274
tm192405,298168
ts21567,119054
tm55553,267181
tm56574,209258
tm192037,288960
ts20983,64727
ts22193,9708
tm191989,300073
ts20960,21949
tm65686,103263
ts11397,3808
tm54903,118811
tm187187,149290
tm191772,141308
tm191848,361422
tm121879,59086
tm44402,180532
ts22489,13361
ts25252,20888
ts21034,15823
tm53419,118479
tm189764,57399
tm9323,183638
tm46173,181306
tm19673,270231
tm24877,167670
tm189433,75244
ts251477,
tm1822,9208
tm187791,101939
tm19494,64087
tm10739,71062
tm113576,57621
tm191387,103459
tm6859,79800
tm186589,128179
tm191374,142696
tm8446,55499
ts8570,9955
tm21596,130099
tm48430,191722
tm190835,51938
tm192199,67761
tm184205,60779
tm12499,66127
tm192431,64625
tm56033,21382
tm190486,33128
tm61103,58726
tm117488,30138
tm55732,73269
tm191431,34127
tm17721,25432
ts20939,3713
ts21693,12535
ts22286,4936
tm190811,11506
tm107659,19829
ts21581,4482
tm7135,
tm7073,3178
tm63514,4247
ts20918,2346
tm10811,4921
tm188970,3085
tm188606,678
tm128073,
ts18465,39
tm64817,5834
tm320211,589
tm189171,1564
tm67635,51640
ts22080,4185
ts22039,1703
tm41525,5943
tm7951,195
ts21684,3106
tm55100,28409
ts224786,
tm204173,320
tm191614,2825
tm8859,1678
tm424630,248
tm12876,12512
tm52083,4175
tm9898,3056
tm326102,129
tm12482,3901
tm128925,6199
tm52871,3025
ts28516,2326
tm62385,8454
tm184502,18224
tm7810,341
tm27601,7556
tm8687,
tm47530,3567
tm105716,2837
tm117873,20986
tm189773,2177
tm7032,365
tm58893,7557
tm340430,351
tm184326,3490
tm110225,2322
tm34391,161
tm21911,272
tm118438,6465
tm62176,5413
tm57169,1092
tm184224,166
tm44776,987
tm104933,115
tm203186,74
tm256669,784
tm117840,998
tm334788,198
tm110160,2528
tm192301,1212
tm110766,718
tm118256,142
tm64729,65
tm314602,248
tm25389,4168
tm42397,4230
tm210754,
tm449775,66
tm255589,
ts4,1727694
ts9,945125
ts26091,21531
ts11,197744
ts21469,293618
ts288536,9564
ts6495,189191
ts22337,141049
ts8308,252564
ts22011,15743
ts21465,428639
tm33545,280121
tm172683,439027
ts17156,297552
ts20573,147409
ts12724,121514
ts3371,297336
tm92641,2268288
tm102740,263019
tm87484,719717
ts20604,64449
tm39030,644336
tm78592,163878
ts21511,20708
ts19036,38046
tm116324,92305
ts32186,4577
ts11313,302147
tm34310,260975
ts21247,310776
tm160815,465995
tm78671,41052
tm89036,193053
tm86803,681286
tm105329,263212
ts20305,93980
tm35463,255099
tm84371,329417
tm139658,435503
tm79442,627009
tm131038,297525
ts2230,17843
tm154187,620154
tm133767,474176
tm88738,215678
ts17942,62140
tm148270,120400
tm93055,247229
tm133374,323939
tm26897,441023
tm109304,341888
ts22267,41791
tm76066,611379
tm90190,333378
tm997728,
tm29737,228799
tm84906,269043
ts6644,23523
tm142086,429097
ts22018,38281
ts30311,24224
tm95252,312538
tm136808,240433
ts21197,80138
tm195620,
tm109137,200354
tm84613,128190
tm173551,265023
tm94606,120208
tm136308,149218
tm82985,47049
tm145593,160449
tm150260,226225
ts30313,4764
tm119111,214461
tm130647,72916
tm32919,536858
tm23935,148043
tm137143,393998
tm28905,67748
tm44486,36361
tm39487,26157
tm169949,106755
ts35155,17024
tm184913,144656
tm118637,131999
tm58382,104604
tm40009,247039
ts12787,62367
tm154470,357557
tm22294,27797
tm78067,26035
tm148379,81971
tm76428,
tm21467,139797
tm46436,86492
tm57190,91584
tm37546,182612
tm30205,221095
tm159310,143670
tm89592,175210
tm167516,60693
tm79895,118815
tm88045,49599
tm111600,58516
tm143938,104166
tm31187,111694
tm141390,105938
tm74780,242733
tm150214,117986
ts21544,6500
tm176528,146847
tm102337,99192
tm36188,224896
tm88382,86395
ts31263,1104
tm47523,35711
tm24088,120188
tm137362,140741
tm177068,143998
tm82442,64062
tm90864,339626
tm101249,87673
ts687,44971
ts24028,7539
tm142564,385782
ts23752,2110
ts21706,14782
ts21740,1856
ts30356,1049
tm89684,23307
ts31514,13
ts22005,10523
tm183963,13034
tm27268,114942
tm81270,145981
tm137342,121066
ts21688,11579
ts22318,6700
tm161263,38445
ts12815,12046
tm26638,72366
tm55303,149082
tm31189,94628
tm165593,57894
ts15986,19684
ts26322,14307
tm78767,146625
ts98340,
tm36644,83129
tm77649,78119
ts33559,25
tm33113,185430
tm78189,
tm43399,111053
tm147211,131564
ts56549,2512
tm29555,30186
tm93225,82623
ts20398,4168
tm86189,89755
ts21421,93
tm104880,11973
tm101334,49599
tm135451,10210
ts20526,4417
tm186461,
ts30083,13848
tm141707,33051
tm103095,103673
ts23835,3114
tm83786,188234
ts23808,1740
ts27459,1422
ts20544,9763
tm27168,78039
ts40702,6
ts30288,1291
tm114476,53746
ts21967,8172
ts12701,5109
tm130574,40289
ts21695,1951
ts121176,330
ts1893,1222
ts20535,2499
tm160800,54633
ts38159,1469
tm22493,1780
tm164557,8536
tm112381,6948
tm71119,11138
tm134235,5382
tm86995,49090
ts17028,720
tm137530,32837
ts25765,5172
ts3666,863
ts42914,644
tm100688,13446
tm31290,
tm36475,48818
tm80059,4016
tm53999,
tm22636,12831
tm30289,3984
tm38896,7585
tm29269,32188
tm156001,1683
ts21664,2303
tm73058,42597
tm76835,51945
ts1464,755
tm48083,73
tm33981,61
tm80339,6759
ts72322,284
ts52849,912
tm165259,865
tm97544,14272
tm65142,1611
ts14102,118
tm22342,9957
tm24576,3975
tm41508,10834
ts74928,603
tm52352,263
tm170873,1936
tm176297,3507
ts74931,55
tm110923,3598
tm150521,3284
tm75022,
tm177687,4297
tm22989,3940
ts98252,96
tm156575,11747
ts20358,1827
ts44053,
ts23319,1083
tm91046,4346
tm61056,71167
tm138497,7451
tm93612,2416
tm81461,6249
tm32915,604
ts63295,1034
tm96037,3567
tm36164,4473
tm147494,3626
tm31564,2862
tm95238,3264
tm54147,14944
tm99776,907
tm30170,36836
tm37945,21963
tm25029,2630
tm59880,1789
tm34524,1189
tm83175,21799
tm65839,4849
tm89936,3813
tm22540,22505
tm34846,2151
tm32885,118092
ts44663,572
tm82765,89085
tm170169,5309
tm44749,5824
tm47325,2482
tm146887,7683
tm144345,68028
tm70222,19556
tm92977,10415
ts37200,120
tm98975,18466
tm25842,312
tm43179,17411
tm95434,2558
tm23441,19797
tm418157,
tm86051,20611
tm44634,1083
tm62369,2256
tm23077,9793
tm31335,7884
tm139349,2548
tm85243,3422
tm165809,6313
tm89764,1826
tm68191,4430
tm51493,36291
ts56589,156
ts1413,475
tm175687,778
ts98353,19
tm49405,2570
